event_id,pacote,versao_app,build,versao_corrigida,data_ocorrencia_utc,data_correcao,plataforma,ambiente,descricao_erro,descricao_solucao,titulo_sentry,culprit,sentry_release,dist,observacoes
1425636d682241f9a746b78bfb2aaaa2,br.com.polygonus.mobile.imaculada,6.05.10,60510,6.05.16,2026-04-16T12:52:00.439000+00:00,2026-04-17,Android,production,ApiException: 403 com corpo HTML Cloudflare ao carregar /mobile_menu (bloqueio geo).,Mensagem amigável ao usuário (acesso fora do Brasil); sem exibir HTML bruto na UI.,ApiException: resposta HTML Cloudflare (403),poly_http_client.dart in PolyHttpClient._handleResponse,br.com.polygonus.mobile.imaculada@6.05.10+60510,60510,Homologado 2026-04-17: teste com VPN no celular. user.id Sentry 9e71630b-9b21-498c-8355-9863929db30d (não é event_id).
840f6faf028e48bdab3bdf6190df28c6,br.com.polygonus.mobile.imaculada,6.05.10,60510,6.05.16,2026-04-16T12:52:00.445000+00:00,2026-04-17,Android,production,ApiException: 403 com HTML Cloudflare no POST selecionarEntidade (login/geo).,Mensagem amigável ao usuário; sem HTML bruto na UI (6.05.16 / poly_http_client).,ApiException: resposta HTML Cloudflare (403) no POST,poly_http_client.dart in PolyHttpClient._handleResponse,br.com.polygonus.mobile.imaculada@6.05.10+60510,60510,Homologado 2026-04-17 em 6.05.16 com VPN/geo. Complementa 1425636d (GET menu) e fecha 840f6faf (POST entidade).
